Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
TM Dilshan (SL),1999-2016,497,527,64,17671,193,38.16,21879,80.76,39,83,35,2011,112
KS Williamson (NZ),2010-2023,346,406,44,17398,251,48.06,26156,66.51,41,95,19,1749,133
Mohammad Yousuf (Asia/PAK),1998-2010,381,432,52,17300,223,45.52,27357,63.23,39,97,26,1747,142
MS Dhoni (Asia/IND),2004-2019,538,526,142,17266,224,44.96,21834,79.07,16,108,21,1486,359
V Sehwag (Asia/ICC/IND),1999-2013,374,443,15,17253,319,40.31,18641,92.55,38,72,31,2408,243
GC Smith (Afr/ICC/SA),2002-2014,347,432,25,17236,277,42.34,24943,69.10,37,90,20,2076,94
MJ Clarke (AUS),2003-2015,394,449,71,17112,329*,45.26,26033,65.73,36,86,21,1672,102
ME Waugh (AUS),1988-2002,372,445,37,16529,173,40.51,26413,62.57,38,97,35,1495,98
Javed Miandad (PAK),1975-1996,357,407,62,16213,280*,46.99,26178,54.83*,31,93,14,1233,92
DL Haynes (WI),1978-1994,354,439,53,16135,184,41.8,28759,53.31*,35,96,23,1586,77
AN Cook (ENG),2006-2018,257,387,20,15737,294,42.88,30770,51.14,38,76,16,1815,21
